#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
152,00007ffc 155ebd70,"      IADD3 R52, P0, P1, R24, UR16, R12",0,16,12,Integer,98304,32,,,,,,,,
153,00007ffc 155ebd80,"      IADD3 R50, P2, P3, R20, UR18, R12",0,17,3,Integer,98304,32,,,,,,,,
154,00007ffc 155ebd90,"      IADD3.X R53, PT, PT, R9, UR17, RZ, P0, P1",0,18,4,Integer,98304,32,,,,,,,,
155,00007ffc 155ebda0,"      IADD3.X R51, PT, PT, R6, UR19, RZ, P2, P3",0,19,4,Integer,98304,32,,,,,,,,
156,00007ffc 155ebdb0,"      LDG.E.U8.CONSTANT R14, desc[UR8][R52.64]",0,20,10,Load/Store,98304,32,Global,Load,8,,,,,
157,00007ffc 155ebdc0,"      LDG.E.U8.CONSTANT R35, desc[UR8][R50.64]",0,21,3,Load/Store,98304,32,Global,Load,8,,,,,
158,00007ffc 155ebdd0,"      SHF.R.S32.HI R4, RZ, 0x1f, R10",0,22,1,Integer,98304,32,,,,,,,,
159,00007ffc 155ebde0,"      IADD3 R48, P1, PT, R10, R46, RZ",0,23,3,Integer,98304,32,,,,,,,,
160,00007ffc 155ebdf0,"      LDG.E.U8.CONSTANT R38, desc[UR8][R50.64+0x20]",0,24,3,Load/Store,98304,32,Global,Load,8,,,,,
161,00007ffc 155ebe00,"      IADD3 R42, P0, PT, R10, R22, RZ",0,25,2,Integer,98304,32,,,,,,,,
162,00007ffc 155ebe10,"      IADD3.X R49, PT, PT, R4, R5, RZ, P1, !PT",0,26,7,Integer,98304,32,,,,,,,,
163,00007ffc 155ebe20,"      LDG.E.U8.CONSTANT R30, desc[UR8][R50.64+0x40]",0,27,,Load/Store,98304,32,Global,Load,8,,,,,
164,00007ffc 155ebe30,"      IADD3.X R43, PT, PT, R4, R7, RZ, P0, !PT",0,28,1,Integer,98304,32,,,,,,,,
165,00007ffc 155ebe40,"      LDG.E.CONSTANT R44, desc[UR8][R48.64]",0,28,4,Load/Store,98304,32,Global,Load,32,393216,,,,
166,00007ffc 155ebe50,"      LDG.E.CONSTANT R40, desc[UR8][R42.64]",0,29,8,Load/Store,98304,32,Global,Load,32,393216,,,,
167,00007ffc 155ebe60,"      LDG.E.U8.CONSTANT R4, desc[UR8][R52.64+0x20]",0,30,8,Load/Store,98304,32,Global,Load,8,,,,,
168,00007ffc 155ebe70,"      LDG.E.CONSTANT R39, desc[UR8][R48.64+0x4]",0,31,4,Load/Store,98304,32,Global,Load,32,393216,,,,
169,00007ffc 155ebe80,"      LDG.E.CONSTANT R36, desc[UR8][R42.64+0x4]",0,32,9,Load/Store,98304,32,Global,Load,32,393216,,,,
170,00007ffc 155ebe90,"      LDG.E.CONSTANT R31, desc[UR8][R48.64+0x100]",0,33,8,Load/Store,98304,32,Global,Load,32,393216,,,,
171,00007ffc 155ebea0,"      LDG.E.CONSTANT R32, desc[UR8][R42.64+0x100]",0,34,6,Load/Store,98304,32,Global,Load,32,393216,,,,
172,00007ffc 155ebeb0,"      LDG.E.CONSTANT R33, desc[UR8][R48.64+0x104]",0,35,4,Load/Store,98304,32,Global,Load,32,393216,,,,
173,00007ffc 155ebec0,"      LDG.E.CONSTANT R28, desc[UR8][R42.64+0x104]",0,36,6,Load/Store,98304,32,Global,Load,32,393216,,,,
174,00007ffc 155ebed0,"      LDG.E.U8.CONSTANT R34, desc[UR8][R52.64+0x40]",0,37,10,Load/Store,98304,32,Global,Load,8,,,,,
175,00007ffc 155ebee0,"      LDG.E.CONSTANT R26, desc[UR8][R48.64+0x200]",0,38,2,Load/Store,98304,32,Global,Load,32,393216,,,,
176,00007ffc 155ebef0,"      LDG.E.U8.CONSTANT R8, desc[UR8][R52.64+0x60]",0,39,7,Load/Store,98304,32,Global,Load,8,,,,,
177,00007ffc 155ebf00,"      LDG.E.CONSTANT R15, desc[UR8][R42.64+0x200]",0,38,4,Load/Store,98304,32,Global,Load,32,393216,,,,
178,00007ffc 155ebf10,"      LDG.E.U8.CONSTANT R29, desc[UR8][R50.64+0x60]",0,39,6,Load/Store,98304,32,Global,Load,8,,,,,
179,00007ffc 155ebf20,"      LDG.E.CONSTANT R11, desc[UR8][R48.64+0x204]",0,38,5,Load/Store,98304,32,Global,Load,32,393216,,,,
180,00007ffc 155ebf30,"      LDG.E.CONSTANT R13, desc[UR8][R48.64+0x300]",0,39,7,Load/Store,98304,32,Global,Load,32,393216,,,,
181,00007ffc 155ebf40,"      LDG.E.CONSTANT R16, desc[UR8][R42.64+0x204]",0,40,3,Load/Store,98304,32,Global,Load,32,393216,,,,
182,00007ffc 155ebf50,"      LDG.E.CONSTANT R27, desc[UR8][R42.64+0x300]",0,41,5,Load/Store,98304,32,Global,Load,32,393216,,,,
183,00007ffc 155ebf60,"      LDG.E.CONSTANT R19, desc[UR8][R48.64+0x304]",0,42,5,Load/Store,98304,32,Global,Load,32,393216,,,,
184,00007ffc 155ebf70,"      LDG.E.CONSTANT R18, desc[UR8][R42.64+0x304]",0,41,7,Load/Store,98304,32,Global,Load,32,393216,,,,
185,00007ffc 155ebf80,"      IADD3 R12, PT, PT, R12, 0x80, RZ",0,39,,Integer,98304,32,,,,,,,,
186,00007ffc 155ebf90,"      ISETP.GE.AND P0, PT, R12, UR5, PT",0,39,15,Integer,98304,32,,,,,,,,
187,00007ffc 155ebfa0,"      F2FP.F16.E4M3.UNPACK_B R14, R14",0,39,255,Other,98304,32,,,,,,,,
188,00007ffc 155ebfb0,"      F2FP.F16.E4M3.UNPACK_B R35, R35",0,39,4,Other,98304,32,,,,,,,,
189,00007ffc 155ebfc0,"      HADD2.F32 R14, -RZ, R14.H0_H0",0,39,12,Floating Point,98304,32,,,,,,,,
190,00007ffc 155ebfd0,"      HADD2.F32 R35, -RZ, R35.H0_H0",0,39,1,Floating Point,98304,32,,,,,,,,
191,00007ffc 155ebfe0,"      FMUL.FTZ R35, R14, R35",0,39,8,Floating Point,98304,32,,,,,,,,
192,00007ffc 155ebff0,"      F2FP.F16.E2M1.UNPACK_B R37, R44",0,39,2,Other,98304,32,,,,,,,,
193,00007ffc 155ec000,"      F2FP.F16.F32.PACK_AB R35, RZ, R35",0,39,10,Other,98304,32,,,,,,,,
194,00007ffc 155ec010,"      F2FP.F16.E2M1.UNPACK_B R14, R40",0,40,297,Other,98304,32,,,,,,,,
195,00007ffc 155ec020,"      HMUL2 R37, R37, R35.H0_H0",0,40,17,Floating Point,98304,32,,,,,,,,
196,00007ffc 155ec030,"      F2FP.F16.E2M1.UNPACK_B R43, R44.B1",0,41,1,Other,98304,32,,,,,,,,
197,00007ffc 155ec040,"      F2FP.F16.E4M3.UNPACK_B R4, R4",0,41,2,Other,98304,32,,,,,,,,
